ax,ay,az,gx,gy,gz,dt
0.0670,-0.0321,0.9996,0.2668,0.5107,-0.5716,0.012000
0.0664,-0.0289,1.0002,0.3277,0.4954,-0.5640,0.012000
0.0630,-0.0299,0.9991,0.3430,0.5412,-0.5259,0.012000
0.0654,-0.0288,1.0004,0.3735,0.5564,-0.5564,0.012000
0.0657,-0.0293,0.9996,0.2973,0.6250,-0.6174,0.012000
0.0683,-0.0312,1.0017,0.3354,0.6098,-0.5945,0.012000
0.0688,-0.0320,0.9981,0.4421,0.6555,-0.5869,0.012000
0.0678,-0.0330,0.9997,0.3735,0.5564,-0.5716,0.012000
0.0690,-0.0333,1.0007,0.2439,0.5716,-0.6021,0.012000
0.0685,-0.0314,1.0001,0.2591,0.6707,-0.5945,0.012000
0.0651,-0.0327,0.9988,0.2439,0.5183,-0.5107,0.012000
0.0665,-0.0316,1.0001,0.2744,0.6250,-0.5107,0.012000
0.0675,-0.0287,1.0008,0.2744,0.6784,-0.5716,0.012000
0.0682,-0.0292,0.9987,0.3506,0.5793,-0.5488,0.012000
0.0676,-0.0296,0.9990,0.3659,0.5488,-0.5259,0.012000
0.0679,-0.0306,1.0023,0.3811,0.5030,-0.6402,0.012000
0.0674,-0.0319,1.0014,0.2363,0.5640,-0.5412,0.012000
0.0686,-0.0316,1.0020,0.2896,0.5335,-0.4802,0.012000
0.0682,-0.0320,0.9999,0.4345,0.6098,-0.6174,0.012000
0.0673,-0.0319,0.9985,0.2363,0.5869,-0.6174,0.012000
0.0668,-0.0312,1.0004,0.3963,0.6174,-0.5564,0.012000
0.0668,-0.0295,0.9999,0.2896,0.6021,-0.5335,0.012000
0.0656,-0.0284,1.0004,0.3125,0.5716,-0.5335,0.012000
0.0668,-0.0295,1.0009,0.3277,0.5412,-0.5412,0.012000
0.0681,-0.0314,1.0004,0.2591,0.6326,-0.5640,0.012000
0.0697,-0.0327,1.0009,0.2896,0.6326,-0.5716,0.012000
0.0697,-0.0326,0.9995,0.2744,0.6707,-0.5183,0.012000
0.0667,-0.0308,1.0004,0.2744,0.6098,-0.5716,0.012000
0.0669,-0.0291,0.9998,0.2973,0.5945,-0.5793,0.012000
0.0668,-0.0305,1.0021,0.3582,0.6326,-0.5183,0.012000
0.0685,-0.0293,0.9983,0.3201,0.6326,-0.6021,0.012000
0.0679,-0.0292,0.9985,0.2058,0.6479,-0.5488,0.012000
0.0690,-0.0320,0.9973,0.2287,0.7165,-0.5716,0.012000
0.0696,-0.0309,0.9994,0.2591,0.7851,-0.5488,0.012000
0.0667,-0.0308,1.0016,0.1143,0.7470,-0.5869,0.012000
0.0687,-0.0321,0.9973,0.2287,0.6860,-0.4878,0.012000
0.0679,-0.0311,0.9988,0.1829,0.6250,-0.5412,0.012000
0.0684,-0.0319,1.0017,0.2058,0.6784,-0.5412,0.012000
0.0702,-0.0304,0.9970,0.4040,0.6250,-0.5030,0.012000
0.0667,-0.0304,1.0013,0.3735,0.5488,-0.4649,0.012000
0.0616,-0.0461,0.9997,0.0534,0.4497,1.5168,0.012000
0.0628,-0.0375,0.9982,0.5640,0.5030,7.7820,0.012000
0.0634,-0.0228,0.9965,1.0137,0.4040,11.6387,0.012000
0.0720,-0.0209,1.0019,0.6021,0.3430,11.5015,0.012000
0.0682,-0.0329,1.0002,0.6707,0.4040,7.9954,0.012000
0.0670,-0.0307,0.9973,0.7088,0.3887,8.4223,0.012000
0.0714,-0.0330,0.9990,0.4878,0.2668,8.7500,0.012000
0.0662,-0.0336,1.0015,0.6784,0.3049,8.7119,0.012000
0.0656,-0.0309,0.9995,0.4954,0.3963,8.6433,0.012000
0.0690,-0.0297,1.0000,0.5259,0.3125,8.3232,0.012000
0.0701,-0.0275,0.9998,0.6098,0.4726,7.4009,0.012000
0.0676,-0.0276,1.0010,0.4268,0.4421,5.3963,0.012000
0.0690,-0.0313,1.0016,0.2668,0.5030,3.4223,0.012000
0.0688,-0.0303,0.9980,0.4040,0.5412,1.6616,0.012000
0.0677,-0.0323,1.0013,0.3430,0.6174,-0.6707,0.012000
0.0682,-0.0320,1.0001,0.3125,0.6098,-0.5564,0.012000
0.0687,-0.0309,1.0017,0.3582,0.6479,-0.4954,0.012000
0.0685,-0.0324,1.0015,0.3049,0.6098,-0.4954,0.012000
0.0672,-0.0309,1.0005,0.2515,0.6098,-0.6174,0.012000
0.0656,-0.0316,0.9998,0.2363,0.5564,-0.5716,0.012000
0.0668,-0.0305,1.0012,0.2820,0.4878,-0.5793,0.012000
0.0652,-0.0310,0.9990,0.2515,0.6250,-0.5869,0.012000
0.0681,-0.0323,0.9998,0.2744,0.6326,-0.5716,0.012000
0.0693,-0.0329,1.0012,0.3354,0.5793,-0.5107,0.012000
0.0684,-0.0337,0.9975,0.2439,0.5945,-0.5869,0.012000
0.0687,-0.0331,1.0005,0.3354,0.5793,-0.5716,0.012000
0.0670,-0.0317,1.0009,0.2820,0.5183,-0.4726,0.012000
0.0655,-0.0299,1.0013,0.2363,0.5869,-0.4878,0.012000
0.0661,-0.0297,1.0008,0.3354,0.5869,-0.5183,0.012000
0.0671,-0.0306,0.9988,0.3049,0.6250,-0.5412,0.012000
0.0649,-0.0321,0.9989,0.3049,0.6631,-0.5869,0.012000
0.0682,-0.0311,1.0001,0.2515,0.6098,-0.5869,0.012000
0.0659,-0.0316,1.0005,0.2744,0.5030,-0.5869,0.012000
0.0689,-0.0315,1.0002,0.1905,0.5564,-0.5945,0.012000
0.0690,-0.0319,0.9995,0.2363,0.5564,-0.5793,0.012000
0.0685,-0.0320,0.9973,0.3659,0.6250,-0.5945,0.012000
0.0652,-0.0320,0.9993,0.3201,0.5564,-0.6021,0.012000
0.0664,-0.0292,0.9983,0.2134,0.5412,-0.5335,0.012000
0.0656,-0.0306,1.0010,0.3659,0.5183,-0.5335,0.012000
0.0651,-0.0311,1.0018,0.2744,0.5335,-0.5640,0.012000
0.0662,-0.0298,1.0013,0.3201,0.5259,-0.5793,0.012000
0.0676,-0.0308,1.0015,0.2820,0.5869,-0.5259,0.012000
0.0714,-0.0328,1.0015,0.2210,0.5716,-0.4954,0.012000
0.0670,-0.0326,1.0011,0.3582,0.5030,-0.5716,0.012000
0.0681,-0.0323,1.0014,0.2363,0.4802,-0.5335,0.012000
0.0679,-0.0312,1.0010,0.2820,0.6174,-0.5488,0.012000
0.0673,-0.0302,0.9995,0.3049,0.6402,-0.5945,0.012000
0.0676,-0.0319,0.9998,0.2820,0.5640,-0.5869,0.012000
0.0652,-0.0302,1.0016,0.3125,0.4649,-0.5564,0.012000
0.0675,-0.0307,1.0020,0.2820,0.4649,-0.5488,0.012000
0.0676,-0.0298,1.0007,0.2896,0.5945,-0.5640,0.012000
0.0678,-0.0318,1.0000,0.3201,0.6174,-0.5869,0.012000
0.0670,-0.0316,0.9986,0.3125,0.5716,-0.6402,0.012000
0.0679,-0.0344,0.9993,0.2363,0.5945,-0.6250,0.012000
0.0645,-0.0320,1.0001,0.2820,0.5793,-0.5716,0.012000
0.0685,-0.0318,1.0006,0.3201,0.5869,-0.5107,0.012000
0.0678,-0.0302,1.0010,0.3887,0.5869,-0.5716,0.012000
0.0660,-0.0310,1.0009,0.2439,0.6174,-0.5107,0.012000
0.0669,-0.0307,1.0021,0.3125,0.5716,-0.4726,0.012000
0.0697,-0.0312,1.0010,0.3049,0.6098,-0.6326,0.012000
0.0667,-0.0328,0.9972,0.2668,0.6021,-0.5335,0.012000
0.0671,-0.0316,0.9988,0.2744,0.5564,-0.5030,0.012000
0.0676,-0.0308,0.9997,0.1982,0.5412,-0.5564,0.012000
0.0677,-0.0322,0.9999,0.2515,0.5335,-0.6250,0.012000
0.0681,-0.0303,0.9994,0.3201,0.5564,-0.5107,0.012000
0.0677,-0.0308,0.9984,0.3125,0.5793,-0.5945,0.012000
0.0661,-0.0312,0.9983,0.3354,0.5640,-0.5335,0.012000
0.0669,-0.0297,0.9999,0.2744,0.5488,-0.6021,0.012000
0.0676,-0.0322,0.9987,0.2820,0.5030,-0.5869,0.012000
0.0657,-0.0323,0.9990,0.2363,0.5183,-0.4802,0.012000
0.0682,-0.0311,1.0009,0.1143,0.4878,-0.4954,0.012000
0.0671,-0.0323,0.9997,0.2515,0.6021,-0.5640,0.012000
0.0685,-0.0306,0.9993,0.3506,0.6250,-0.5488,0.012000
0.0674,-0.0306,0.9997,0.4268,0.6555,-0.6555,0.012000
0.0663,-0.0311,0.9996,0.3049,0.6021,-0.5335,0.012000
0.0663,-0.0307,1.0001,0.3354,0.6174,-0.5183,0.012000
0.0652,-0.0299,1.0008,0.3277,0.5716,-0.5716,0.012000
0.0666,-0.0294,1.0015,0.1905,0.6174,-0.5869,0.012000
0.0656,-0.0323,1.0016,0.3125,0.6174,-0.5869,0.012000
0.0691,-0.0314,0.9996,0.2515,0.5259,-0.6021,0.012000
0.0674,-0.0306,0.9977,0.2896,0.5107,-0.5869,0.012000
0.0677,-0.0326,1.0004,0.2287,0.5488,-0.5564,0.012000
0.0681,-0.0337,1.0009,0.2744,0.5183,-0.5259,0.012000
0.0671,-0.0312,0.9997,0.2591,0.6860,-0.5488,0.012000
0.0664,-0.0310,0.9982,0.2973,0.6021,-0.5716,0.012000
0.0681,-0.0323,0.9990,0.3506,0.4802,-0.5488,0.012000
0.0676,-0.0305,1.0001,0.2820,0.5945,-0.5488,0.012000
0.0682,-0.0319,1.0001,0.3582,0.5107,-0.5183,0.012000
0.0661,-0.0340,0.9987,0.2744,0.4726,-0.5107,0.012000
0.0670,-0.0318,1.0004,0.2896,0.5107,-0.5488,0.012000
0.0696,-0.0319,1.0023,0.3277,0.5488,-0.6174,0.012000
0.0657,-0.0302,0.9986,0.3582,0.5793,-0.5183,0.012000
0.0684,-0.0319,0.9987,0.3354,0.6098,-0.6174,0.012000
0.0674,-0.0308,0.9979,0.3201,0.5869,-0.5716,0.012000
0.0663,-0.0298,1.0008,0.2820,0.5793,-0.5107,0.012000
0.0667,-0.0303,0.9964,0.3277,0.5564,-0.5030,0.012000
0.0690,-0.0324,0.9978,0.2058,0.6021,-0.5716,0.012000
0.0670,-0.0320,0.9980,0.2896,0.5412,-0.5869,0.012000
0.0683,-0.0316,0.9992,0.2668,0.5488,-0.5335,0.012000
0.0691,-0.0312,0.9999,0.2820,0.5488,-0.5259,0.012000
0.0672,-0.0333,1.0009,0.2896,0.6174,-0.5488,0.012000
0.0648,-0.0309,0.9998,0.2973,0.6174,-0.5488,0.012000
0.0659,-0.0313,0.9990,0.3125,0.5869,-0.5412,0.012000
0.0682,-0.0316,0.9999,0.3277,0.5793,-0.5259,0.012000
0.0666,-0.0318,0.9987,0.2058,0.5869,-0.5945,0.012000
0.0655,-0.0306,1.0028,0.3201,0.6021,-0.5259,0.012000
0.0674,-0.0312,0.9999,0.2591,0.5869,-0.4421,0.012000
0.0667,-0.0308,0.9982,0.2668,0.5640,-0.6250,0.012000
0.0648,-0.0325,0.9995,0.3125,0.5488,-0.6784,0.012000
0.0661,-0.0324,0.9987,0.2134,0.5640,-0.5412,0.012000
0.0660,-0.0309,0.9984,0.3201,0.5030,-0.5945,0.012000
0.0670,-0.0309,0.9984,0.2591,0.5335,-0.5107,0.012000
0.0670,-0.0313,1.0009,0.2668,0.5945,-0.5640,0.012000
0.0688,-0.0312,1.0020,0.2820,0.5716,-0.5107,0.012000
0.0652,-0.0299,0.9984,0.2439,0.5183,-0.5412,0.012000
0.0693,-0.0325,0.9995,0.2896,0.5259,-0.5183,0.012000
0.0668,-0.0317,0.9985,0.3277,0.6555,-0.6250,0.012000
0.0684,-0.0320,0.9995,0.2287,0.6250,-0.5259,0.012000
0.0691,-0.0319,1.0012,0.3659,0.5183,-0.5640,0.012000
0.0666,-0.0323,1.0008,0.3277,0.5183,-0.5945,0.012000
0.0668,-0.0315,1.0009,0.2744,0.6174,-0.6402,0.012000
0.0668,-0.0326,1.0022,0.3201,0.5488,-0.5107,0.012000
0.0676,-0.0308,1.0000,0.2668,0.6021,-0.4802,0.012000
0.0646,-0.0295,0.9982,0.3582,0.6479,-0.5945,0.012000
0.0689,-0.0320,1.0001,0.3201,0.5259,-0.5488,0.012000
0.0669,-0.0309,1.0005,0.3887,0.6021,-0.5564,0.012000
0.0674,-0.0317,1.0011,0.2668,0.5259,-0.5335,0.012000
0.0685,-0.0330,0.9999,0.2287,0.4878,-0.5564,0.012000
0.0693,-0.0327,1.0008,0.3049,0.6174,-0.5335,0.012000
0.0665,-0.0320,0.9995,0.3201,0.6021,-0.5869,0.012000
0.0673,-0.0310,0.9995,0.2134,0.6250,-0.5412,0.012000
0.0659,-0.0299,0.9985,0.2363,0.5488,-0.5793,0.012000
0.0685,-0.0308,0.9985,0.3201,0.5564,-0.5412,0.012000
0.0674,-0.0305,1.0002,0.2134,0.6174,-0.6098,0.012000
0.0654,-0.0308,0.9999,0.2820,0.5716,-0.5564,0.012000
0.0682,-0.0319,1.0003,0.2287,0.5488,-0.5869,0.012000
0.0664,-0.0331,1.0000,0.2591,0.5107,-0.5259,0.012000
0.0674,-0.0302,0.9996,0.2973,0.5412,-0.5030,0.012000
0.0690,-0.0322,0.9999,0.3887,0.5640,-0.5564,0.012000
0.0663,-0.0310,0.9995,0.2210,0.6479,-0.6326,0.012000
0.0669,-0.0309,0.9990,0.3201,0.6555,-0.6784,0.012000
0.0659,-0.0303,0.9974,0.3430,0.6326,-0.5259,0.012000
0.0674,-0.0314,1.0002,0.4116,0.6098,-0.5412,0.012000
0.0681,-0.0326,1.0010,0.2363,0.5412,-0.6098,0.012000
0.0663,-0.0312,1.0004,0.3659,0.4954,-0.6021,0.012000
0.0659,-0.0313,0.9993,0.3659,0.5107,-0.5107,0.012000
0.0681,-0.0301,0.9985,0.3430,0.5793,-0.5030,0.012000
0.0675,-0.0338,0.9989,0.3125,0.5412,-0.6326,0.012000
0.0672,-0.0323,1.0013,0.1524,0.5030,-0.5412,0.012000
0.0665,-0.0323,0.9973,0.3354,0.6250,-0.6174,0.012000
0.0659,-0.0311,1.0009,0.3811,0.5869,-0.6174,0.012000
0.0658,-0.0311,1.0018,0.3354,0.5640,-0.5716,0.012000
0.0672,-0.0311,1.0006,0.3582,0.4726,-0.5488,0.012000
0.0662,-0.0309,0.9983,0.2744,0.6250,-0.5335,0.012000
0.0685,-0.0309,1.0004,0.3201,0.6402,-0.6098,0.012000
0.0710,-0.0319,0.9999,0.2363,0.6326,-0.5945,0.012000
0.0682,-0.0326,0.9984,0.3125,0.5640,-0.6479,0.012000
0.0679,-0.0323,1.0001,0.2973,0.5412,-0.5793,0.012000
0.0678,-0.0313,0.9991,0.2896,0.6098,-0.5412,0.012000
0.0675,-0.0300,0.9991,0.3277,0.5412,-0.5030,0.012000
0.0695,-0.0312,0.9985,0.2210,0.5412,-0.6555,0.012000
0.0678,-0.0326,1.0015,0.2668,0.6098,-0.5564,0.012000
0.0662,-0.0314,1.0015,0.3125,0.5945,-0.5107,0.012000
0.0670,-0.0316,0.9999,0.3277,0.5564,-0.5335,0.012000
0.0660,-0.0330,0.9985,0.3354,0.6174,-0.5259,0.012000
0.0668,-0.0322,0.9998,0.3277,0.6098,-0.5259,0.012000
0.0654,-0.0320,0.9999,0.2058,0.5030,-0.4878,0.012000
0.0667,-0.0331,1.0020,0.3049,0.6021,-0.5335,0.012000
0.0655,-0.0302,1.0009,0.2896,0.4878,-0.5869,0.012000
0.0656,-0.0300,0.9979,0.3049,0.5716,-0.5640,0.012000
0.0682,-0.0305,1.0001,0.3049,0.6250,-0.6021,0.012000
0.0671,-0.0299,1.0022,0.2896,0.6402,-0.5259,0.012000
0.0681,-0.0308,0.9993,0.2515,0.5945,-0.4573,0.012000
0.0665,-0.0328,1.0023,0.2973,0.5030,-0.5945,0.012000
0.0673,-0.0329,1.0010,0.2973,0.5183,-0.6098,0.012000
0.0652,-0.0317,0.9996,0.2973,0.5335,-0.6098,0.012000
0.0673,-0.0308,1.0016,0.3582,0.5107,-0.5640,0.012000
0.0685,-0.0316,1.0001,0.2591,0.5716,-0.5564,0.012000
0.0674,-0.0303,1.0007,0.1601,0.5564,-0.5564,0.012000
0.0663,-0.0320,0.9991,0.2591,0.5564,-0.5793,0.012000
0.0656,-0.0310,0.9999,0.3659,0.6021,-0.5945,0.012000
0.0646,-0.0319,1.0002,0.2668,0.6250,-0.5945,0.012000
0.0692,-0.0322,1.0004,0.2515,0.5564,-0.6098,0.012000
0.0668,-0.0306,1.0013,0.3125,0.5640,-0.5564,0.012000
0.0680,-0.0325,1.0010,0.2973,0.5564,-0.5030,0.012000
0.0680,-0.0320,1.0007,0.2820,0.5869,-0.5716,0.012000
0.0668,-0.0318,0.9991,0.2896,0.5945,-0.6021,0.012000
0.0674,-0.0320,0.9994,0.2287,0.6098,-0.6555,0.012000
0.0684,-0.0317,0.9992,0.2210,0.5945,-0.6098,0.012000
0.0668,-0.0298,0.9999,0.2515,0.5259,-0.5412,0.012000
0.0665,-0.0308,0.9982,0.3201,0.4573,-0.5030,0.012000
0.0662,-0.0328,0.9992,0.2973,0.5335,-0.5564,0.012000
0.0659,-0.0329,1.0008,0.3430,0.5716,-0.5183,0.012000
0.0681,-0.0313,0.9991,0.4116,0.5488,-0.5716,0.012000
0.0671,-0.0315,0.9996,0.2134,0.5107,-0.6555,0.012000
0.0672,-0.0331,0.9998,0.2363,0.5030,-0.6631,0.012000
0.0670,-0.0320,0.9991,0.3506,0.5945,-0.5183,0.012000
0.0649,-0.0309,0.9965,0.3049,0.5488,-0.5869,0.012000
0.0636,-0.0312,0.9977,0.3354,0.5564,-0.5335,0.012000
0.0665,-0.0303,0.9974,0.2973,0.5640,-0.5412,0.012000
0.0662,-0.0304,0.9981,0.1829,0.5564,-0.5793,0.012000
0.0686,-0.0345,1.0005,0.3506,0.4649,-0.5412,0.012000
0.0680,-0.0324,1.0013,0.2591,0.5869,-0.5183,0.012000
0.0698,-0.0298,0.9999,0.2363,0.5488,-0.6021,0.012000
0.0682,-0.0306,1.0001,0.3430,0.5564,-0.5716,0.012000
0.0660,-0.0327,1.0001,0.4497,0.5640,-0.5564,0.012000
0.0649,-0.0314,0.9996,0.3506,0.5869,-0.6098,0.012000
0.0687,-0.0327,0.9999,0.2896,0.5716,-0.5945,0.012000
0.0671,-0.0314,0.9989,0.3430,0.5793,-0.5716,0.012000
0.0664,-0.0320,1.0021,0.3735,0.5945,-0.5107,0.012000
0.0651,-0.0317,0.9991,0.3582,0.5640,-0.6098,0.012000
0.0667,-0.0302,1.0018,0.2591,0.4802,-0.5183,0.012000
0.0692,-0.0292,1.0003,0.2668,0.5335,-0.5183,0.012000
0.0691,-0.0297,0.9991,0.2744,0.5564,-0.6174,0.012000
0.0681,-0.0322,0.9993,0.2058,0.5716,-0.5488,0.012000
0.0690,-0.0325,0.9986,0.2210,0.6021,-0.5640,0.012000
0.0654,-0.0319,1.0005,0.2668,0.5488,-0.5716,0.012000
0.0645,-0.0306,0.9991,0.2820,0.5335,-0.5793,0.012000
0.0670,-0.0308,0.9988,0.2820,0.5945,-0.5945,0.012000
0.0675,-0.0304,1.0007,0.3506,0.5945,-0.5793,0.012000
0.0681,-0.0321,0.9995,0.3735,0.6326,-0.5869,0.012000
0.0664,-0.0314,1.0007,0.2973,0.5564,-0.5640,0.012000
0.0672,-0.0319,1.0016,0.3201,0.5640,-0.5640,0.012000
0.0679,-0.0325,1.0004,0.2896,0.5564,-0.5945,0.012000
0.0662,-0.0317,1.0006,0.2896,0.5183,-0.4954,0.012000
0.0682,-0.0303,0.9996,0.2287,0.4802,-0.6402,0.012000
0.0676,-0.0325,0.9993,0.2668,0.5564,-0.5640,0.012000
0.0671,-0.0315,1.0009,0.3049,0.4345,-0.5183,0.012000
0.0711,-0.0306,0.9985,0.2820,0.5488,-0.5335,0.012000
0.0687,-0.0308,0.9982,0.2896,0.6784,-0.5335,0.012000
0.0658,-0.0311,1.0006,0.2820,0.5869,-0.5640,0.012000
0.0678,-0.0319,1.0007,0.2515,0.5564,-0.5945,0.012000
0.0677,-0.0323,0.9995,0.2591,0.5793,-0.5716,0.012000
0.0682,-0.0322,0.9989,0.2515,0.5564,-0.5945,0.012000
0.0691,-0.0327,0.9991,0.3277,0.5335,-0.5259,0.012000
0.0682,-0.0300,1.0001,0.3659,0.6021,-0.5488,0.012000
0.0654,-0.0309,0.9999,0.3354,0.5945,-0.5869,0.012000
0.0661,-0.0307,0.9996,0.2591,0.5793,-0.5488,0.012000
0.0692,-0.0316,1.0006,0.2210,0.5335,-0.5564,0.012000
